Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF,City
2030-04-30,54,-3284.756853411514,-3229.2731980388485,-254315.7503921328,-428652.0646078213,-3906.014123900228,-3840.0366554899983,NYC
2030-05-31,55,-3276.8901299150943,-3226.097113510952,-257592.6405220479,-431878.1617213322,-3909.4161895038274,-3848.818783801601,NYC
2030-06-30,56,-3269.039770967619,-3222.908563450893,-260861.68029301552,-435101.0702847831,-3912.8182551074265,-3857.6023374227766,NYC
2030-07-31,57,-3261.205753533445,-3219.707072910056,-264122.88604654896,-438320.7773576932,-3916.2203207110256,-3866.3866123766375,NYC
2030-08-31,58,-3253.3880545530205,-3216.4922629344346,-267376.274101102,-441537.2696206276,-3919.622386314625,-3875.171011820082,NYC
2030-09-30,59,-3245.586650943283,-3213.263854124468,-270621.86075204524,-444750.533474752,-3923.024451918224,-3883.955052172651,NYC
2030-10-31,60,-3237.801519598064,-3210.021664800921,-273859.6622716433,-447960.5551395529,-3926.426517521824,-3892.738362806908,NYC
2030-11-30,61,-3230.032637388481,-3206.7656049659136,-277089.6949090318,-451167.3207445189,-3929.8285831254234,-3901.520680598271,NYC
2030-12-31,62,-3222.2799811633354,-3203.49566720072,-280311.9748901951,-454370.81641171954,-3933.230648729022,-3910.3018406102337,NYC
2031-01-31,63,-3214.5435277495017,-3200.211915551042,-283526.5184179446,-457571.0283272706,-3936.6327143326216,-3919.081764114479,NYC
2031-02-28,64,-3206.823253952317,-3196.9144733292,-286733.3416718969,-460767.9428005999,-3940.03477993622,-3927.860445029012,NYC
2031-03-31,65,-3199.119136555972,-3193.6035106229697,-289932.4608084529,-463961.5463112228,-3943.43684553982,-3936.6379357143383,NYC
2031-04-30,66,-3191.4311523238894,-3190.279232152874,-293123.8919607768,-467151.8255433757,-3946.838911143419,-3945.414332909863,NYC
2031-05-31,67,-3183.759277999114,-3186.941865972204,-296307.6512387759,-470338.7674093479,-3950.240976747018,-3954.189764430269,NYC
2031-06-30,68,-3176.1034903046884,-3183.5916533636746,-299483.7547290806,-473522.3590627116,-3953.643042350617,-3962.964377083103,NYC
2031-07-31,69,-3168.463765944032,-3180.2288401585047,-302652.2184950246,-476702.58790287,-3957.0451079542167,-3971.738326120537,NYC
2031-08-31,70,-3160.840081601317,-3176.853669591252,-305813.05857662595,-479879.4415724613,-3960.447173557816,-3980.5117664052746,NYC
2031-09-30,71,-3153.232413941843,-3173.466376709061,-308966.29099056777,-483052.90794917033,-3963.849239161415,-3989.2848453556935,NYC
2031-10-31,72,-3145.640739612408,-3170.0671842777647,-312111.93173018016,-486222.97513344814,-3967.251304765015,-3998.057697640428,NYC
2031-11-30,73,-3138.065035241676,-3166.6563000693577,-315249.9967654218,-489389.63143351744,-3970.6533703686137,-4006.830441517936,NYC
2031-12-31,74,-3130.5052774405467,-3163.2339153746702,-318380.50204286235,-492552.86534889217,-3974.0554359722128,-4015.603176661668,NYC
2032-01-31,75,-3122.9614428025184,-3159.800204559948,-321503.46348566486,-495712.6655534521,-3977.457501575812,-4024.3759832748246,NYC
2032-02-29,76,-3115.4335079040507,-3156.35532547455,-324618.8969935689,-498869.0208789266,-3980.859567179411,-4033.148922278339,NYC
2032-03-31,77,-3107.921449304927,-3152.8994205167724,-327726.81844287383,-502021.9202994434,-3984.2616327830106,-4041.9220363494687,NYC
2032-04-30,78,-3100.425243548609,-3149.432618173634,-330827.2436864224,-505171.352917617,-3987.66369838661,-4050.695351593566,NYC
2032-05-31,79,-3092.9448671625955,-3145.9550348661023,-333920.18855358503,-508317.3079524832,-3991.065763990209,-4059.468879645786,NYC
2032-06-30,80,-3085.480296658777,-3142.4667769514367,-337005.6688502438,-511459.7747294346,-3994.467829593808,-4068.242620020216,NYC
2032-07-31,81,-3078.031508533784,-3138.9679427574247,-340083.7003587776,-514598.7426721921,-3997.869895197408,-4077.016562548911,NYC
2032-08-31,82,-3070.5984792693407,-3135.458624547356,-343154.29883804696,-517734.2012967394,-4001.271960801007,-4085.790689780562,NYC
2032-09-30,83,-3063.1811853326094,-3131.938910338535,-346217.48002337955,-520866.140207078,-4004.6740264046057,-4094.564979236377,NYC
2032-10-31,84,-3055.779603176539,-3128.408885519756,-349273.2596265561,-523994.54909259774,-4008.076092008205,-4103.339405447747,NYC
2032-11-30,85,-3048.3937092402043,-3124.8686342336478,-352321.65333579626,-527119.4177268314,-4011.478157611805,-4112.1139417253535,NYC
2032-12-31,86,-3041.0234799491504,-3121.31824050776,-355362.6768157454,-530240.7359673391,-4014.880223215404,-4120.888561631773,NYC
2033-01-31,87,-3033.668891715733,-3117.7577891332594,-358396.3457074612,-533358.4937564724,-4018.282288819003,-4129.663240148884,NYC
2033-02-28,88,-3026.32992093945,-3114.187366302055,-361422.67562840064,-536472.6811227745,-4021.684354422602,-4138.437954547153,NYC
2033-03-31,89,-3019.006544007282,-3110.6070600222383,-364441.6821724079,-539583.2881827967,-4025.086420026201,-4147.212684976193,NYC
2033-04-30,90,-3011.698737294025,-3107.0169603379723,-367453.3809097019,-542690.3051431347,-4028.488485629801,-4155.987414804982,NYC
2033-05-31,91,-3004.406477162616,-3103.4171593837104,-370457.7873868645,-545793.7223025183,-4031.8905512334,-4164.762130745974,NYC
2033-06-30,92,-2997.1297399644677,-3099.80775130424,-373454.917126829,-548893.5300538226,-4035.292616837,-4173.53682280047,NYC
2033-07-31,93,-2989.868502039792,-3096.1888320718367,-376444.7856288688,-551989.7188858944,-4038.694682440599,-4182.3114840634125,NYC
2033-08-31,94,-2982.6227397179287,-3092.560499230221,-379427.40836858674,-555082.2793851247,-4042.0967480441977,-4191.086110424612,NYC
2033-09-30,95,-2975.392429317664,-3088.9228515923214,-382402.8007979044,-558171.202236717,-4045.498813647797,-4199.860700200822,NYC
2033-10-31,96,-2968.177547147553,-3085.275988915505,-385370.97834505193,-561256.4782256326,-4048.900879251396,-4208.635253729387,NYC
2033-11-30,97,-2960.9780695062395,-3081.6200115740958,-388331.95641455817,-564338.0982372067,-4052.302944854996,-4217.409772949849,NYC
2033-12-31,98,-2953.7939726827726,-3077.9550202451296,-391285.75038724096,-567416.0532574517,-4055.705010458595,-4226.184260995179,NYC
2034-01-31,99,-2946.625232956921,-3074.281115619376,-394232.37562019785,-570490.3343730711,-4059.1070760621938,-4234.95872180954,NYC
