Date,Month,Cumulative_Buying,Cumulative_Renting,Cost_Difference,Buying_Monthly,Renting_Monthly,Is_BreakEven,BreakEven_Month,BreakEven_Date,City
2038-05-31,151,298857.6666951327,249462.12739707145,49395.53929806125,1764.285428218281,2015.8187614262888,False,256,2047-02-28,Buffalo
2038-06-30,152,300623.8895797465,251483.663351427,49140.22622831952,1766.222884613877,2021.5359543555808,False,256,2047-02-28,Buffalo
2038-07-31,153,302392.05647760566,253510.9327136096,48881.12376399609,1768.1668978591156,2027.26936218257,False,256,2047-02-28,Buffalo
2038-08-31,154,304162.1739677497,255543.9517445049,48618.22222324475,1770.117490144058,2033.0190308953663,False,256,2047-02-28,Buffalo
2038-09-30,155,305934.2486514836,257582.73675111745,48351.51190036611,1772.074683733863,2038.785006612513,False,256,2047-02-28,Buffalo
2038-10-31,156,307708.2871524526,259627.3040867008,48080.98306575182,1774.0385009690403,2044.56733558335,False,256,2047-02-28,Buffalo
2038-11-30,157,309484.2961167183,261677.6701508892,47806.62596582912,1776.0089642657056,2050.3660641883903,False,256,2047-02-28,Buffalo
2038-12-31,158,311262.28221283416,263733.8513898289,47528.43082300527,1777.9860961158363,2056.181238939688,False,256,2047-02-28,Buffalo
2039-01-31,159,313042.2521319217,265795.8642963101,47246.38783561159,1779.9699190875294,2062.0129064812145,False,256,2047-02-28,Buffalo
2039-02-28,160,314824.2125877469,267863.7254098994,46960.487177847535,1781.9604558252563,2067.8611135892297,False,256,2047-02-28,Buffalo
2039-03-31,161,316608.1703167971,269937.45131707203,46670.71899972507,1783.9577290501252,2073.72590717266,False,256,2047-02-28,Buffalo
2039-04-30,162,318394.1320783572,272017.0586513455,46377.07342701167,1785.961761560137,2079.607334273472,False,256,2047-02-28,Buffalo
2039-05-31,163,320182.1046545877,274102.56409341254,46079.54056117515,1787.9725762304463,2085.505442067052,False,256,2047-02-28,Buffalo
2039-06-30,164,321972.0948506013,276193.9843712751,45778.11047932616,1789.9901960136256,2091.4202778625827,False,256,2047-02-28,Buffalo
2039-07-31,165,323764.1094945412,278291.33626037854,45472.773234162654,1792.0146439399225,2097.351889103424,False,256,2047-02-28,Buffalo
2039-08-31,166,325558.1554376588,280394.636583746,45163.51885391277,1794.045943117525,2103.300323367492,False,256,2047-02-28,Buffalo
2039-09-30,167,327354.2395543916,282503.90221211367,44850.337342277926,1796.0841167328265,2109.265628367644,False,256,2047-02-28,Buffalo
2039-10-31,168,329152.3687424422,284619.1500640657,44533.21867837652,1798.1291880506878,2115.2478519520546,False,256,2047-02-28,Buffalo
